Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_02_542.jpg,0,0,0,0,99.67004,85.58906,-0.002294882,56.82573,6.775995E-06
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_02_587.jpg,0,0,0,0,99.67004,85.58905,-0.002422123,56.82573,5.90049E-06
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_02_652.jpg,1.545482,0,0,0,99.67004,85.58905,-0.002487331,57.0843,1.490946E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_02_693.jpg,6.438239,0,0,0,99.67004,85.58905,-0.002498607,57.73042,4.057874E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_02_737.jpg,5.946958,0,0,0,99.67004,85.58905,-0.002485864,58.52886,6.990766E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_02_780.jpg,3.833878,0,0,0,99.67004,85.58905,-0.002449858,59.11776,8.864368E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_02_820.jpg,3.784862,0,0,0,99.67004,85.58905,-0.002392701,59.59281,9.990479E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_02_863.jpg,1.244341,0,0,0,99.67004,85.58906,-0.002315685,59.93787,0.0001033412
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_02_906.jpg,-1.336319,0,0,0,99.67004,85.58906,-0.0021679,59.89987,8.518475E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_02_947.jpg,-3.0156,0,0,0,99.67005,85.58906,-0.002050386,59.56629,6.218457E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_02_988.jpg,-4.519139,0,0,0,99.67005,85.58906,-0.001919078,59.06606,3.576522E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_028.jpg,-6.568018,0,0,0,99.67005,85.58907,-0.001774187,58.35125,6.288763E-06
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_086.jpg,-8.377676,0,0,0,99.67005,85.58907,-0.001538472,56.90026,-3.672026E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_127.jpg,-12.39899,0,0,0,99.67005,85.58907,-0.001370799,55.51997,-6.56847E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_169.jpg,-14.57244,0,0,0,99.67006,85.58908,-0.001195912,53.8428,-9.042053E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_210.jpg,-15,0,0,0,99.67006,85.58908,-0.001016813,52.04282,-0.0001050188
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_252.jpg,-15,0,0,0,99.67006,85.58908,-0.0008366986,50.24281,-0.0001071084
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_294.jpg,-15,0,0,0,99.67006,85.58909,-0.0006566973,48.44283,-9.747513E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_335.jpg,-15,0,0,0,99.67006,85.58909,-0.000479457,46.64283,-7.66083E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_378.jpg,-13.10148,0.01362008,0,0,99.67007,85.58909,-0.0003065102,44.90679,-4.532527E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_418.jpg,-10.73028,0.13218,0,0,99.66988,85.58906,-0.003674703,44.87684,0.00255165
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_458.jpg,-8.361239,0.250632,0,0.01014445,99.67008,85.58912,0.0004796291,44.87802,3.493276E-05
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_503.jpg,-6.726,0.332394,0,0,99.67063,85.58963,0.01685364,44.84143,-0.0005360973
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_547.jpg,-3.014038,0.5179921,0,0.03446085,99.6731,85.59191,0.0888169,44.62173,-0.002724618
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_589.jpg,-0.449878,0.6462001,0,0.06909879,99.6757,85.59444,0.1629495,44.61839,-0.003055481
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_629.jpg,0,0.766806,0,0.09625407,99.67927,85.59795,0.2629632,44.60297,-0.002731124
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_670.jpg,0,0.8830801,0,0.1157098,99.68358,85.60223,0.3787738,44.63338,-0.00238719
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_763.jpg,0,0.9945751,0,0.1233803,99.69556,85.61407,0.6554846,44.52324,0.0009752334
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_811.jpg,0,1,0,0.2013132,99.70716,85.62558,0.8889871,44.60736,0.0007378293
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_855.jpg,0,0.92677,0,0.2666919,99.71658,85.63491,1.065648,44.62284,0.0007586023
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_897.jpg,0,0.7963359,0,0.2959831,99.72704,85.64526,1.242851,44.59661,0.001631652
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_941.jpg,0,0.6967781,0,0.3192451,99.73676,85.65506,1.324602,44.48839,0.003746719
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_03_981.jpg,0,0.545266,0,0.3475766,99.7457,85.66402,1.263737,44.49537,0.0007084843
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_04_024.jpg,0,0.42061,0,0.3702851,99.75896,85.67717,1.08237,44.4799,0.001198218
/Users/adam/Projects/IMG/robocam_2017_05_24_17_04_04_064.jpg,0,0.302317,0,0.3670833,99.76831,85.68639,0.9720519,44.48879,-0.00131452
